2020-8-21-16-31-47 : foodHitCount = 24 out of 129 ;  foodHitCellPos = (15 , 4) ; idxToErase = 26 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 6 ; ghostEatenCount = 0 ; 
2020-8-21-16-31-49 : foodHitCount = 24 out of 129 ;  foodHitCellPos = (15 , 4) ; idxToErase = 26 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 7 ; ghostEatenCount = 0 ; 
2020-8-21-16-31-53 : foodHitCount = 24 out of 129 ;  foodHitCellPos = (15 , 4) ; idxToErase = 26 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 8 ; ghostEatenCount = 0 ; 
2020-8-21-16-32-8 : foodHitCount = 24 out of 129 ;  foodHitCellPos = (15 , 4) ; idxToErase = 26 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 9 ; ghostEatenCount = 0 ; 
2020-8-21-16-32-16 : foodHitCount = 24 out of 129 ;  foodHitCellPos = (15 , 4) ; idxToErase = 26 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 10 ; ghostEatenCount = 0 ; 
2020-8-21-16-32-26 : foodHitCount = 24 out of 129 ;  foodHitCellPos = (15 , 4) ; idxToErase = 26 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 11 ; ghostEatenCount = 0 ; 
2020-8-21-16-32-35 : foodHitCount = 24 out of 129 ;  foodHitCellPos = (15 , 4) ; idxToErase = 26 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 12 ; ghostEatenCount = 0 ; 
2020-8-21-16-32-44 : foodHitCount = 24 out of 129 ;  foodHitCellPos = (15 , 4) ; idxToErase = 26 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 13 ; ghostEatenCount = 0 ; 
2020-8-21-16-32-56 : foodHitCount = 24 out of 129 ;  foodHitCellPos = (15 , 4) ; idxToErase = 26 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 14 ; ghostEatenCount = 0 ; 
2020-8-21-16-32-58 : foodHitCount = 24 out of 129 ;  foodHitCellPos = (15 , 4) ; idxToErase = 26 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 15 ; ghostEatenCount = 0 ; 
2020-8-21-16-33-17 : foodHitCount = 25 out of 129 ;  foodHitCellPos = (13 , 4) ; idxToErase = 25 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 15 ; ghostEatenCount = 0 ; 
2020-8-21-16-33-18 : foodHitCount = 26 out of 129 ;  foodHitCellPos = (13 , 5) ; idxToErase = 35 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 15 ; ghostEatenCount = 0 ; 
2020-8-21-16-33-19 : foodHitCount = 27 out of 129 ;  foodHitCellPos = (13 , 6) ; idxToErase = 36 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 15 ; ghostEatenCount = 0 ; 
2020-8-21-16-33-21 : foodHitCount = 28 out of 129 ;  foodHitCellPos = (13 , 7) ; idxToErase = 46 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 15 ; ghostEatenCount = 0 ; 
2020-8-21-16-33-22 : foodHitCount = 29 out of 129 ;  foodHitCellPos = (13 , 8) ; idxToErase = 50 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 15 ; ghostEatenCount = 0 ; 
2020-8-21-16-33-23 : foodHitCount = 30 out of 129 ;  foodHitCellPos = (13 , 9) ; idxToErase = 60 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 15 ; ghostEatenCount = 0 ; 
2020-8-21-16-33-24 : foodHitCount = 31 out of 129 ;  foodHitCellPos = (14 , 9) ; idxToErase = 60 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 15 ; ghostEatenCount = 0 ; 
2020-8-21-16-33-25 : foodHitCount = 32 out of 129 ;  foodHitCellPos = (15 , 9) ; idxToErase = 60 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 15 ; ghostEatenCount = 0 ; 
2020-8-21-16-33-26 : foodHitCount = 33 out of 129 ;  foodHitCellPos = (15 , 10) ; idxToErase = 62 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 15 ; ghostEatenCount = 0 ; 
2020-8-21-16-33-27 : foodHitCount = 34 out of 129 ;  foodHitCellPos = (15 , 11) ; idxToErase = 72 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 15 ; ghostEatenCount = 0 ; 
2020-8-21-16-33-28 : foodHitCount = 35 out of 129 ;  foodHitCellPos = (16 , 11) ; idxToErase = 72 ; superFoodHitCount = 0 out of 5 ; ghostHitCount = 15 ; ghostEatenCount = 0 ; 
